2026-05-07 13:13:40,017 | INFO | NotesTest | ===== TEST STARTED: Create Note =====
2026-05-07 13:13:40,018 | INFO | NotesTest | Opening application URL
2026-05-07 13:13:44,116 | INFO | NotesTest | Navigating to login page
2026-05-07 13:13:47,156 | INFO | NotesTest | Performing login
2026-05-07 13:13:48,461 | INFO | NotesTest | Validating home page load
2026-05-07 13:13:49,201 | INFO | NotesTest | Login successful [PASS]
2026-05-07 13:13:49,202 | INFO | NotesTest | Creating note with title: Test Note 1778139829
2026-05-07 13:13:52,274 | INFO | NotesTest | Note creation submitted, validating presence
2026-05-07 13:13:57,209 | INFO | NotesTest | Note created successfully [PASS]
2026-05-07 13:13:57,212 | INFO | NotesTest | ===== TEST COMPLETED =====

