2026-05-10 22:10:04,715 | INFO | test_success_message_note | ===== TEST STARTED: SUCCESS MESSAGE VALIDATION =====
2026-05-10 22:10:04,717 | INFO | test_success_message_note | Opening application URL
2026-05-10 22:10:14,464 | INFO | test_success_message_note | LoginPage initialized
2026-05-10 22:10:14,464 | INFO | test_success_message_note | LoginPage initialized
2026-05-10 22:10:14,465 | INFO | test_success_message_note | NotesPage initialized
2026-05-10 22:10:14,465 | INFO | test_success_message_note | NotesPage initialized
2026-05-10 22:10:14,466 | INFO | test_success_message_note | Logging in
2026-05-10 22:10:14,466 | INFO | test_success_message_note | Navigating to login page
2026-05-10 22:10:14,467 | INFO | test_success_message_note | Waiting for page load
2026-05-10 22:10:14,494 | INFO | test_success_message_note | Page loaded successfully
2026-05-10 22:10:14,494 | INFO | test_success_message_note | Clicking element: [('xpath', "//a[contains(text(),'Login')]"), ('link text', 'Login'), ('partial link text', 'Log')]
2026-05-10 22:10:14,566 | INFO | test_success_message_note | Waiting for clickable element: [('xpath', "//a[contains(text(),'Login')]"), ('link text', 'Login'), ('partial link text', 'Log')]
2026-05-10 22:10:14,566 | INFO | test_success_message_note | [HEALING] Trying locator: ('xpath', "//a[contains(text(),'Login')]")
2026-05-10 22:10:14,777 | INFO | test_success_message_note | [HEALING SUCCESS] ('xpath', "//a[contains(text(),'Login')]")
2026-05-10 22:10:14,777 | INFO | test_success_message_note | Element clickable: [('xpath', "//a[contains(text(),'Login')]"), ('link text', 'Login'), ('partial link text', 'Log')]
2026-05-10 22:10:22,452 | INFO | test_success_message_note | Normal click successful
2026-05-10 22:10:22,452 | INFO | test_success_message_note | Successfully navigated to login page
2026-05-10 22:10:22,452 | INFO | test_success_message_note | Starting login process
2026-05-10 22:10:22,453 | INFO | test_success_message_note | Waiting for email field
2026-05-10 22:10:22,453 | INFO | test_success_message_note | Waiting for visible element: [('id', 'email'), ('name', 'email'), ('css selector', "[data-testid='login-email']"), ('css selector', "input[type='text']"), ('xpath', "//input[@id='email']")]
2026-05-10 22:10:22,454 | INFO | test_success_message_note | [HEALING] Trying locator: ('id', 'email')
2026-05-10 22:10:22,507 | INFO | test_success_message_note | [HEALING SUCCESS] ('id', 'email')
2026-05-10 22:10:22,508 | INFO | test_success_message_note | Element visible: [('id', 'email'), ('name', 'email'), ('css selector', "[data-testid='login-email']"), ('css selector', "input[type='text']"), ('xpath', "//input[@id='email']")]
2026-05-10 22:10:22,508 | INFO | test_success_message_note | Waiting for DOM stability
2026-05-10 22:10:22,508 | INFO | test_success_message_note | Waiting for DOM stability
2026-05-10 22:10:23,508 | INFO | test_success_message_note | DOM stable
2026-05-10 22:10:23,508 | INFO | test_success_message_note | Entering username: charithreddy2004@gmail.com
2026-05-10 22:10:23,508 | INFO | test_success_message_note | Sending text to element: [('id', 'email'), ('name', 'email'), ('css selector', "[data-testid='login-email']"), ('css selector', "input[type='text']"), ('xpath', "//input[@id='email']")]
2026-05-10 22:10:23,508 | INFO | test_success_message_note | Input text: charithreddy2004@gmail.com
2026-05-10 22:10:23,597 | INFO | test_success_message_note | Waiting for visible element: [('id', 'email'), ('name', 'email'), ('css selector', "[data-testid='login-email']"), ('css selector', "input[type='text']"), ('xpath', "//input[@id='email']")]
2026-05-10 22:10:23,597 | INFO | test_success_message_note | [HEALING] Trying locator: ('id', 'email')
2026-05-10 22:10:23,745 | INFO | test_success_message_note | [HEALING SUCCESS] ('id', 'email')
2026-05-10 22:10:23,745 | INFO | test_success_message_note | Element visible: [('id', 'email'), ('name', 'email'), ('css selector', "[data-testid='login-email']"), ('css selector', "input[type='text']"), ('xpath', "//input[@id='email']")]
2026-05-10 22:10:25,108 | INFO | test_success_message_note | Text entered successfully
2026-05-10 22:10:25,109 | INFO | test_success_message_note | Entering password
2026-05-10 22:10:25,109 | INFO | test_success_message_note | Sending text to element: [('id', 'password'), ('name', 'password'), ('css selector', "[data-testid='login-password']"), ('css selector', "input[type='password']"), ('xpath', "//input[@id='password']")]
2026-05-10 22:10:25,109 | INFO | test_success_message_note | Input text: Charith@2004
2026-05-10 22:10:25,132 | INFO | test_success_message_note | Waiting for visible element: [('id', 'password'), ('name', 'password'), ('css selector', "[data-testid='login-password']"), ('css selector', "input[type='password']"), ('xpath', "//input[@id='password']")]
2026-05-10 22:10:25,132 | INFO | test_success_message_note | [HEALING] Trying locator: ('id', 'password')
2026-05-10 22:10:25,284 | INFO | test_success_message_note | [HEALING SUCCESS] ('id', 'password')
2026-05-10 22:10:25,284 | INFO | test_success_message_note | Element visible: [('id', 'password'), ('name', 'password'), ('css selector', "[data-testid='login-password']"), ('css selector', "input[type='password']"), ('xpath', "//input[@id='password']")]
2026-05-10 22:10:26,527 | INFO | test_success_message_note | Text entered successfully
2026-05-10 22:10:26,527 | INFO | test_success_message_note | Waiting for login button
2026-05-10 22:10:26,528 | INFO | test_success_message_note | Waiting for clickable element: [('css selector', "[data-testid='login-submit']"), ('css selector', "button[type='submit']"), ('xpath', "//button[contains(text(),'Login')]")]
2026-05-10 22:10:26,528 | INFO | test_success_message_note | [HEALING] Trying locator: ('css selector', "[data-testid='login-submit']")
2026-05-10 22:10:26,647 | INFO | test_success_message_note | [HEALING SUCCESS] ('css selector', "[data-testid='login-submit']")
2026-05-10 22:10:26,647 | INFO | test_success_message_note | Element clickable: [('css selector', "[data-testid='login-submit']"), ('css selector', "button[type='submit']"), ('xpath', "//button[contains(text(),'Login')]")]
2026-05-10 22:10:26,647 | INFO | test_success_message_note | Clicking login button
2026-05-10 22:10:26,647 | INFO | test_success_message_note | Safe clicking element: [('css selector', "[data-testid='login-submit']"), ('css selector', "button[type='submit']"), ('xpath', "//button[contains(text(),'Login')]")]
2026-05-10 22:10:26,647 | INFO | test_success_message_note | Waiting for clickable element: [('css selector', "[data-testid='login-submit']"), ('css selector', "button[type='submit']"), ('xpath', "//button[contains(text(),'Login')]")]
2026-05-10 22:10:26,647 | INFO | test_success_message_note | [HEALING] Trying locator: ('css selector', "[data-testid='login-submit']")
2026-05-10 22:10:26,829 | INFO | test_success_message_note | [HEALING SUCCESS] ('css selector', "[data-testid='login-submit']")
2026-05-10 22:10:26,830 | INFO | test_success_message_note | Element clickable: [('css selector', "[data-testid='login-submit']"), ('css selector', "button[type='submit']"), ('xpath', "//button[contains(text(),'Login')]")]
2026-05-10 22:10:26,936 | INFO | test_success_message_note | Safe click successful
2026-05-10 22:10:26,936 | INFO | test_success_message_note | Waiting for page load after login
2026-05-10 22:10:26,937 | INFO | test_success_message_note | Waiting for page load
2026-05-10 22:10:26,974 | INFO | test_success_message_note | Page loaded successfully
2026-05-10 22:10:26,975 | INFO | test_success_message_note | Login process completed
2026-05-10 22:10:26,975 | INFO | test_success_message_note | Validating Notes dashboard
2026-05-10 22:10:26,975 | INFO | test_success_message_note | Waiting for page load
2026-05-10 22:10:27,037 | INFO | test_success_message_note | Page loaded successfully
2026-05-10 22:10:27,038 | INFO | test_success_message_note | Waiting for visible element: ('css selector', "[data-testid='home']")
2026-05-10 22:10:27,038 | INFO | test_success_message_note | [HEALING] Trying locator: ('css selector', "[data-testid='home']")
2026-05-10 22:10:27,768 | INFO | test_success_message_note | [HEALING SUCCESS] ('css selector', "[data-testid='home']")
2026-05-10 22:10:27,769 | INFO | test_success_message_note | Element visible: ('css selector', "[data-testid='home']")
2026-05-10 22:10:27,769 | INFO | test_success_message_note | Waiting for visible element: ('css selector', "[data-testid='logout']")
2026-05-10 22:10:27,769 | INFO | test_success_message_note | [HEALING] Trying locator: ('css selector', "[data-testid='logout']")
2026-05-10 22:10:27,913 | INFO | test_success_message_note | [HEALING SUCCESS] ('css selector', "[data-testid='logout']")
2026-05-10 22:10:27,914 | INFO | test_success_message_note | Element visible: ('css selector', "[data-testid='logout']")
2026-05-10 22:10:27,914 | INFO | test_success_message_note | Dashboard loaded successfully
2026-05-10 22:10:27,914 | INFO | test_success_message_note | Creating note → Test Note 1778431227
2026-05-10 22:10:27,914 | INFO | test_success_message_note | Starting note creation
