2026-05-10 22:08:40,447 | INFO | test_login | ===== TEST STARTED: LOGIN =====
2026-05-10 22:08:44,612 | INFO | test_login | LoginPage initialized
2026-05-10 22:08:44,612 | INFO | test_login | LoginPage initialized
2026-05-10 22:08:44,612 | INFO | test_login | NotesPage initialized
2026-05-10 22:08:44,612 | INFO | test_login | NotesPage initialized
2026-05-10 22:08:44,612 | INFO | test_login | Navigating to login page
2026-05-10 22:08:44,612 | INFO | test_login | Waiting for page load
2026-05-10 22:08:44,630 | INFO | test_login | Page loaded successfully
2026-05-10 22:08:44,631 | INFO | test_login | Clicking element: [('xpath', "//a[contains(text(),'Login')]"), ('link text', 'Login'), ('partial link text', 'Log')]
2026-05-10 22:08:44,689 | INFO | test_login | Waiting for clickable element: [('xpath', "//a[contains(text(),'Login')]"), ('link text', 'Login'), ('partial link text', 'Log')]
2026-05-10 22:08:44,689 | INFO | test_login | [HEALING] Trying locator: ('xpath', "//a[contains(text(),'Login')]")
2026-05-10 22:08:44,868 | INFO | test_login | [HEALING SUCCESS] ('xpath', "//a[contains(text(),'Login')]")
2026-05-10 22:08:44,869 | INFO | test_login | Element clickable: [('xpath', "//a[contains(text(),'Login')]"), ('link text', 'Login'), ('partial link text', 'Log')]
2026-05-10 22:08:48,807 | INFO | test_login | Normal click successful
2026-05-10 22:08:48,808 | INFO | test_login | Successfully navigated to login page
2026-05-10 22:08:48,808 | INFO | test_login | Starting login process
2026-05-10 22:08:48,808 | INFO | test_login | Waiting for email field
2026-05-10 22:08:48,808 | INFO | test_login | Waiting for visible element: [('id', 'email'), ('name', 'email'), ('css selector', "[data-testid='login-email']"), ('css selector', "input[type='text']"), ('xpath', "//input[@id='email']")]
2026-05-10 22:08:48,808 | INFO | test_login | [HEALING] Trying locator: ('id', 'email')
2026-05-10 22:08:49,083 | INFO | test_login | [HEALING SUCCESS] ('id', 'email')
2026-05-10 22:08:49,083 | INFO | test_login | Element visible: [('id', 'email'), ('name', 'email'), ('css selector', "[data-testid='login-email']"), ('css selector', "input[type='text']"), ('xpath', "//input[@id='email']")]
2026-05-10 22:08:49,083 | INFO | test_login | Waiting for DOM stability
2026-05-10 22:08:49,083 | INFO | test_login | Waiting for DOM stability
2026-05-10 22:08:50,084 | INFO | test_login | DOM stable
2026-05-10 22:08:50,085 | INFO | test_login | Entering username: charithreddy2004@gmail.com
